filename,total_words,total_ai_mentions,normalized_score,generative ai,generative artificial intelligence,genai,large language model,llm,gpt,chatgpt,foundation model,diffusion model,artificial intelligence,machine learning,deep learning,\bai\b,company,quarter,year,quarter_year,ticker,Ticker,Company,Fiscal Year,Fiscal Year End,Revenue,Employees,Assets,Revenue per Employee
"Caterpillar Inc., Q4 2022 Earnings Call, Jan 31, 2023.txt",11966,2,0.000167,0,0,0,0,0,0,0,0,0,0,0,0,2,Caterpillar Inc.,Q4,2022,Q4_2022,CAT,CAT,CATERPILLAR INC,2022.0,2022-12-31,59427000000.0,109100.0,81943000000.0,544702.1082
"Deere  Company, Q2 2022 Earnings Call, May 20, 2022.txt",10105,1,9.9e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,Deere  Company,Q2,2022,Q2_2022,DE,DE,DEERE & CO,2022.0,2022-10-31,52179000000.0,82239.0,90030000000.0,634479.9912
"Deere  Company, Q1 2023 Earnings Call, Feb 17, 2023.txt",10885,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q1,2023,Q1_2023,DE,DE,DEERE & CO,2023.0,2023-10-31,61251000000.0,82956.0,104087000000.0,738355.2727
"JPMorgan Chase  Co., Q1 2025 Earnings Call, Apr 11, 2025.txt",11249,1,8.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,JPMorgan Chase  Co.,Q1,2025,Q1_2025,JPM,JPM,JPMORGAN CHASE & CO,2025.0,2025-12-31,279717000000.0,318512.0,4424900000000.0,878199.2515
"Deere  Company, Q3 2022 Earnings Call, Aug 19, 2022.txt",11362,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q3,2022,Q3_2022,DE,DE,DEERE & CO,2022.0,2022-10-31,52179000000.0,82239.0,90030000000.0,634479.9912
"Deere  Company, Q3 2023 Earnings Call, Aug 18, 2023.txt",10947,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q3,2023,Q3_2023,DE,DE,DEERE & CO,2023.0,2023-10-31,61251000000.0,82956.0,104087000000.0,738355.2727
"Honeywell International Inc., Q3 2025 Earnings Call, Oct 23, 2025.txt",10716,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honeywell International Inc.,Q3,2025,Q3_2025,HON,HON,HONEYWELL INTERNATIONAL INC,2025.0,2025-12-31,37442000000.0,101000.0,73681000000.0,370712.8713
"Honeywell International Inc., Q3 2024 Earnings Call, Oct 24, 2024.txt",10983,6,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,6,Honeywell International Inc.,Q3,2024,Q3_2024,HON,HON,HONEYWELL INTERNATIONAL INC,2024.0,2024-12-31,38498000000.0,102000.0,75196000000.0,377431.3725
"Honeywell International Inc., Q2 2022 Earnings Call, Jul 28, 2022.txt",11045,2,0.000181,0,0,0,0,0,0,0,0,0,1,1,0,0,Honeywell International Inc.,Q2,2022,Q2_2022,HON,HON,HONEYWELL INTERNATIONAL INC,2022.0,2022-12-31,35466000000.0,97000.0,62275000000.0,365628.866
"Caterpillar Inc., Q4 2023 Earnings Call, Feb 05, 2024.txt",10528,5,0.000475,2,0,0,0,0,0,0,0,0,0,0,0,3,Caterpillar Inc.,Q4,2023,Q4_2023,CAT,CAT,CATERPILLAR INC,2023.0,2023-12-31,67060000000.0,113200.0,87476000000.0,592402.8269
"Honeywell International Inc., Q1 2023 Earnings Call, Apr 27, 2023.txt",9765,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honeywell International Inc.,Q1,2023,Q1_2023,HON,HON,HONEYWELL INTERNATIONAL INC,2023.0,2023-12-31,36662000000.0,95000.0,61525000000.0,385915.7895
"JPMorgan Chase  Co., Q2 2023 Earnings Call, Jul 14, 2023.txt",11307,1,8.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,JPMorgan Chase  Co.,Q2,2023,Q2_2023,JPM,JPM,JPMORGAN CHASE & CO,2023.0,2023-12-31,236311000000.0,309926.0,3875393000000.0,762475.5587
"JPMorgan Chase  Co., Q3 2022 Earnings Call, Oct 14, 2022.txt",9087,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase  Co.,Q3,2022,Q3_2022,JPM,JPM,JPMORGAN CHASE & CO,2022.0,2022-12-31,154792000000.0,293723.0,3665743000000.0,526999.9285
"Deere  Company, Q3 2025 Earnings Call, Aug 14, 2025.txt",11348,4,0.000352,0,0,0,0,0,0,0,0,0,1,1,0,2,Deere  Company,Q3,2025,Q3_2025,DE,DE,DEERE & CO,2025.0,2025-10-31,45684000000.0,73146.0,105996000000.0,624559.101
"Caterpillar Inc., Q3 2022 Earnings Call, Oct 27, 2022.txt",10088,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caterpillar Inc.,Q3,2022,Q3_2022,CAT,CAT,CATERPILLAR INC,2022.0,2022-12-31,59427000000.0,109100.0,81943000000.0,544702.1082
"Discovery, Inc., Q4 2021 Earnings Call, Feb 24, 2022.txt",12701,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Discovery, Inc.",Q4,2021,Q4_2021,WBD,WBD,WARNER BROS DISCOVERY INC,2021.0,2021-12-31,12191000000.0,11000.0,34427000000.0,1108272.7273
"JPMorgan Chase  Co., Q2 2022 Earnings Call, Jul 14, 2022.txt",10094,1,9.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,JPMorgan Chase  Co.,Q2,2022,Q2_2022,JPM,JPM,JPMORGAN CHASE & CO,2022.0,2022-12-31,154792000000.0,293723.0,3665743000000.0,526999.9285
"Cisco Systems, Inc., Q4 2022 Earnings Call, Aug 17, 2022.txt",11625,1,8.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cisco Systems, Inc.",Q4,2022,Q4_2022,CSCO,CSCO,CISCO SYSTEMS INC,2022.0,2022-07-31,51557000000.0,83300.0,94002000000.0,618931.5726
"Deere  Company, Q4 2025 Earnings Call, Nov 26, 2025.txt",11715,1,8.5e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,Deere  Company,Q4,2025,Q4_2025,DE,DE,DEERE & CO,2025.0,2025-10-31,45684000000.0,73146.0,105996000000.0,624559.101
"Deere  Company, Q2 2023 Earnings Call, May 19, 2023.txt",10685,1,9.4e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,Deere  Company,Q2,2023,Q2_2023,DE,DE,DEERE & CO,2023.0,2023-10-31,61251000000.0,82956.0,104087000000.0,738355.2727
"Cisco Systems, Inc., Q3 2022 Earnings Call, May 18, 2022.txt",11731,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cisco Systems, Inc.",Q3,2022,Q3_2022,CSCO,CSCO,CISCO SYSTEMS INC,2022.0,2022-07-31,51557000000.0,83300.0,94002000000.0,618931.5726
"Caterpillar Inc., Q2 2025 Earnings Call, Aug 05, 2025.txt",10414,2,0.000192,1,0,0,0,0,0,0,0,0,0,0,0,1,Caterpillar Inc.,Q2,2025,Q2_2025,CAT,CAT,CATERPILLAR INC,2025.0,2025-12-31,67589000000.0,118000.0,98585000000.0,572788.1356
"Wells Fargo  Company, Q2 2024 Earnings Call, Jul 12, 2024.txt",11206,10,0.000892,0,0,3,0,0,0,0,0,0,0,0,0,7,Wells Fargo  Company,Q2,2024,Q2_2024,WFC,WFC,WELLS FARGO & CO,2024.0,2024-12-31,125397000000.0,217502.0,1929845000000.0,576532.6296
"Deere  Company, Q1 2025 Earnings Call, Feb 13, 2025.txt",11462,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deere  Company,Q1,2025,Q1_2025,DE,DE,DEERE & CO,2025.0,2025-10-31,45684000000.0,73146.0,105996000000.0,624559.101
"JPMorgan Chase  Co., Q4 2022 Earnings Call, Jan 13, 2023.txt",11125,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase  Co.,Q4,2022,Q4_2022,JPM,JPM,JPMORGAN CHASE & CO,2022.0,2022-12-31,154792000000.0,293723.0,3665743000000.0,526999.9285
"JPMorgan Chase  Co., Q4 2021 Earnings Call, Jan 14, 2022.txt",17310,4,0.000231,0,0,0,0,0,0,0,0,0,0,1,0,3,JPMorgan Chase  Co.,Q4,2021,Q4_2021,JPM,JPM,JPMORGAN CHASE & CO,2021.0,2021-12-31,127202000000.0,271025.0,3743567000000.0,469336.7771
"Deere  Company, Q1 2022 Earnings Call, Feb 18, 2022.txt",10197,3,0.000294,0,0,0,0,0,0,0,0,0,0,3,0,0,Deere  Company,Q1,2022,Q1_2022,DE,DE,DEERE & CO,2022.0,2022-10-31,52179000000.0,82239.0,90030000000.0,634479.9912
"JPMorgan Chase  Co., Q1 2022 Earnings Call, Apr 13, 2022.txt",10006,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase  Co.,Q1,2022,Q1_2022,JPM,JPM,JPMORGAN CHASE & CO,2022.0,2022-12-31,154792000000.0,293723.0,3665743000000.0,526999.9285
"JPMorgan Chase  Co., Q4 2023 Earnings Call, Jan 12, 2024.txt",8595,7,0.000814,0,0,0,0,0,0,0,0,0,0,0,0,7,JPMorgan Chase  Co.,Q4,2023,Q4_2023,JPM,JPM,JPMORGAN CHASE & CO,2023.0,2023-12-31,236311000000.0,309926.0,3875393000000.0,762475.5587
"Deere  Company, Q1 2024 Earnings Call, Feb 15, 2024.txt",11375,1,8.8e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,Deere  Company,Q1,2024,Q1_2024,DE,DE,DEERE & CO,2024.0,2024-10-31,51659000000.0,75800.0,107320000000.0,681517.1504
"Wells Fargo  Company, Q1 2024 Earnings Call, Apr 12, 2024.txt",12702,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wells Fargo  Company,Q1,2024,Q1_2024,WFC,WFC,WELLS FARGO & CO,2024.0,2024-12-31,125397000000.0,217502.0,1929845000000.0,576532.6296
"Wells Fargo  Company, Q3 2022 Earnings Call, Oct 14, 2022.txt",12223,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wells Fargo  Company,Q3,2022,Q3_2022,WFC,WFC,WELLS FARGO & CO,2022.0,2022-12-31,82859000000.0,238000.0,1881016000000.0,348147.0588
"JPMorgan Chase  Co., Q4 2024 Earnings Call, Jan 15, 2025.txt",9289,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase  Co.,Q4,2024,Q4_2024,JPM,JPM,JPMORGAN CHASE & CO,2024.0,2024-12-31,278803000000.0,317233.0,4002814000000.0,878858.7568
"JPMorgan Chase  Co., Q3 2025 Earnings Call, Oct 14, 2025.txt",10460,10,0.000956,1,0,0,0,0,0,0,0,0,0,0,0,9,JPMorgan Chase  Co.,Q3,2025,Q3_2025,JPM,JPM,JPMORGAN CHASE & CO,2025.0,2025-12-31,279717000000.0,318512.0,4424900000000.0,878199.2515
"Wells Fargo  Company, Q4 2022 Earnings Call, Jan 13, 2023.txt",13966,2,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,2,Wells Fargo  Company,Q4,2022,Q4_2022,WFC,WFC,WELLS FARGO & CO,2022.0,2022-12-31,82859000000.0,238000.0,1881016000000.0,348147.0588
"Wells Fargo  Company, Q4 2023 Earnings Call, Jan 12, 2024.txt",11893,1,8.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,Wells Fargo  Company,Q4,2023,Q4_2023,WFC,WFC,WELLS FARGO & CO,2023.0,2023-12-31,115340000000.0,226000.0,1932468000000.0,510353.9823
"Mastercard Incorporated, Q1 2024 Earnings Call, May 01, 2024.txt",11118,9,0.000809,3,0,0,0,0,0,0,0,0,0,0,0,6,Mastercard Incorporated,Q1,2024,Q1_2024,MA,MA,MASTERCARD INC,2024.0,2024-12-31,28167000000.0,35300.0,48081000000.0,797932.0113
"Broadcom Inc., Q2 2023 Earnings Call, Jun 01, 2023.txt",7596,62,0.008162,11,0,0,0,0,0,0,0,0,0,0,0,51,Broadcom Inc.,Q2,2023,Q2_2023,AVGO,AVGO,BROADCOM INC,2023.0,2023-10-31,35819000000.0,20000.0,72861000000.0,1790950.0
"Broadcom Inc., Q3 2022 Earnings Call, Sep 01, 2022.txt",7198,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broadcom Inc.,Q3,2022,Q3_2022,AVGO,AVGO,BROADCOM INC,2022.0,2022-10-31,33203000000.0,20000.0,73249000000.0,1660150.0
"Advanced Micro Devices, Inc., Q3 2022 Earnings Call, Nov 01, 2022.txt",10880,1,9.2e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,"Advanced Micro Devices, Inc.",Q3,2022,Q3_2022,AMD,AMD,ADVANCED MICRO DEVICES,2022.0,2022-12-31,23601000000.0,25000.0,67580000000.0,944040.0
"Electronic Arts Inc., Q3 2022 Earnings Call, Feb 01, 2022.txt",10747,1,9.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,Electronic Arts Inc.,Q3,2022,Q3_2022,EA,EA,ELECTRONIC ARTS INC,2022.0,2023-03-31,7426000000.0,13400.0,13459000000.0,554179.1045
"Mastercard Incorporated, Q1 2025 Earnings Call, May 01, 2025.txt",11439,14,0.001224,0,0,0,0,0,0,0,0,0,1,0,0,13,Mastercard Incorporated,Q1,2025,Q1_2025,MA,MA,MASTERCARD INC,2025.0,2025-12-31,32791000000.0,39800.0,54157000000.0,823894.4724
"Apple Inc., Q2 2025 Earnings Call, May 01, 2025.txt",5644,12,0.002126,0,0,0,0,2,2,2,2,0,0,0,0,4,Apple Inc.,Q2,2025,Q2_2025,AAPL,AAPL,APPLE INC,2025.0,2025-09-30,416161000000.0,166000.0,359241000000.0,2506993.9759
"Advanced Micro Devices, Inc., Q2 2022 Earnings Call, Aug 02, 2022.txt",9678,3,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,3,"Advanced Micro Devices, Inc.",Q2,2022,Q2_2022,AMD,AMD,ADVANCED MICRO DEVICES,2022.0,2022-12-31,23601000000.0,25000.0,67580000000.0,944040.0
"Warner Bros. Discovery, Inc., Q3 2022 Earnings Call, Nov 03, 2022.txt",13216,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warner Bros. Discovery, Inc.",Q3,2022,Q3_2022,WBD,WBD,WARNER BROS DISCOVERY INC,2022.0,2022-12-31,33817000000.0,37500.0,134001000000.0,901786.6667
"Meta Platforms, Inc., Q4 2021 Earnings Call, Feb 02, 2022.txt",11352,13,0.001145,0,0,0,0,0,0,0,0,0,1,3,0,9,"Meta Platforms, Inc.",Q4,2021,Q4_2021,META,META,META PLATFORMS INC,2021.0,2021-12-31,117929000000.0,71970.0,165987000000.0,1638585.5217
"Caterpillar Inc., Q2 2022 Earnings Call, Aug 02, 2022.txt",10148,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caterpillar Inc.,Q2,2022,Q2_2022,CAT,CAT,CATERPILLAR INC,2022.0,2022-12-31,59427000000.0,109100.0,81943000000.0,544702.1082
"Warner Bros. Discovery, Inc., Q2 2022 Earnings Call, Aug 04, 2022.txt",15824,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warner Bros. Discovery, Inc.",Q2,2022,Q2_2022,WBD,WBD,WARNER BROS DISCOVERY INC,2022.0,2022-12-31,33817000000.0,37500.0,134001000000.0,901786.6667
"T-Mobile US, Inc., Q4 2021 Earnings Call, Feb 02, 2022.txt",13055,1,7.7e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,"T-Mobile US, Inc.",Q4,2021,Q4_2021,TMUS,TMUS,T-MOBILE US INC,2021.0,2021-12-31,80118000000.0,75000.0,206563000000.0,1068240.0
"Electronic Arts Inc., Q2 2023 Earnings Call, Nov 01, 2022.txt",10569,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electronic Arts Inc.,Q2,2023,Q2_2023,EA,EA,ELECTRONIC ARTS INC,2023.0,2024-03-31,7562000000.0,13700.0,13420000000.0,551970.8029
"Electronic Arts Inc., Q1 2023 Earnings Call, Aug 02, 2022.txt",8955,3,0.000335,0,0,0,0,3,0,0,0,0,0,0,0,0,Electronic Arts Inc.,Q1,2023,Q1_2023,EA,EA,ELECTRONIC ARTS INC,2023.0,2024-03-31,7562000000.0,13700.0,13420000000.0,551970.8029
"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022.txt",7869,8,0.001017,0,0,0,0,0,0,0,0,0,0,1,0,7,Broadcom Inc.,Q1,2022,Q1_2022,AVGO,AVGO,BROADCOM INC,2022.0,2022-10-31,33203000000.0,20000.0,73249000000.0,1660150.0
"Advanced Micro Devices, Inc., Q4 2021 Earnings Call, Feb 01, 2022.txt",9044,1,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,1,"Advanced Micro Devices, Inc.",Q4,2021,Q4_2021,AMD,AMD,ADVANCED MICRO DEVICES,2021.0,2021-12-31,16434000000.0,15500.0,12419000000.0,1060258.0645
"Advanced Micro Devices, Inc., Q1 2022 Earnings Call, May 03, 2022.txt",10769,14,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,14,"Advanced Micro Devices, Inc.",Q1,2022,Q1_2022,AMD,AMD,ADVANCED MICRO DEVICES,2022.0,2022-12-31,23601000000.0,25000.0,67580000000.0,944040.0
"T-Mobile US, Inc., Q4 2022 Earnings Call, Feb 01, 2023.txt",11603,1,8.6e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,"T-Mobile US, Inc.",Q4,2022,Q4_2022,TMUS,TMUS,T-MOBILE US INC,2022.0,2022-12-31,79571000000.0,71000.0,211338000000.0,1120718.3099
"The Walt Disney Company, Q1 2025 Earnings Call, Feb 05, 2025.txt",5991,1,0.000167,0,0,0,0,0,0,0,0,0,0,0,0,1,The Walt Disney Company,Q1,2025,Q1_2025,DIS,DIS,DISNEY (WALT) CO,2025.0,2025-09-30,94425000000.0,231000.0,197514000000.0,408766.2338
"Warner Bros. Discovery, Inc., Q1 2023 Earnings Call, May 05, 2023.txt",11378,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warner Bros. Discovery, Inc.",Q1,2023,Q1_2023,WBD,WBD,WARNER BROS DISCOVERY INC,2023.0,2023-12-31,41321000000.0,35300.0,122757000000.0,1170566.5722
"Broadcom Inc., Q3 2025 Earnings Call, Sep 04, 2025.txt",8120,58,0.007143,2,0,0,0,6,0,0,0,0,0,0,0,50,Broadcom Inc.,Q3,2025,Q3_2025,AVGO,AVGO,BROADCOM INC,2025.0,2025-10-31,63887000000.0,33000.0,171092000000.0,1935969.697
"Advanced Micro Devices, Inc., Q1 2023 Earnings Call, May 02, 2023.txt",10467,68,0.006497,8,0,0,4,0,0,0,0,0,0,0,0,56,"Advanced Micro Devices, Inc.",Q1,2023,Q1_2023,AMD,AMD,ADVANCED MICRO DEVICES,2023.0,2023-12-31,22680000000.0,26000.0,67885000000.0,872307.6923
"Broadcom Inc., Q1 2023 Earnings Call, Mar 02, 2023.txt",7450,63,0.008456,15,0,0,1,0,0,0,0,0,0,0,0,47,Broadcom Inc.,Q1,2023,Q1_2023,AVGO,AVGO,BROADCOM INC,2023.0,2023-10-31,35819000000.0,20000.0,72861000000.0,1790950.0
"Broadcom Inc., Q3 2024 Earnings Call, Sep 05, 2024.txt",7945,58,0.0073,0,0,0,3,0,0,0,0,0,0,0,0,55,Broadcom Inc.,Q3,2024,Q3_2024,AVGO,AVGO,BROADCOM INC,2024.0,2024-10-31,51574000000.0,37000.0,165645000000.0,1393891.8919
"Broadcom Inc., Q2 2025 Earnings Call, Jun 05, 2025.txt",7412,45,0.006071,0,0,0,1,3,0,0,0,0,0,0,0,41,Broadcom Inc.,Q2,2025,Q2_2025,AVGO,AVGO,BROADCOM INC,2025.0,2025-10-31,63887000000.0,33000.0,171092000000.0,1935969.697
"Warner Bros. Discovery, Inc., Q2 2023 Earnings Call, Aug 03, 2023.txt",10975,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warner Bros. Discovery, Inc.",Q2,2023,Q2_2023,WBD,WBD,WARNER BROS DISCOVERY INC,2023.0,2023-12-31,41321000000.0,35300.0,122757000000.0,1170566.5722
"Electronic Arts Inc., Q2 2024 Earnings Call, Nov 01, 2023.txt",6522,2,0.000307,1,0,0,0,0,0,0,0,0,0,0,0,1,Electronic Arts Inc.,Q2,2024,Q2_2024,EA,EA,ELECTRONIC ARTS INC,2024.0,2025-03-31,7463000000.0,14500.0,12368000000.0,514689.6552
"Electronic Arts Inc., Q4 2024 Earnings Call, May 07, 2024.txt",8526,16,0.001877,5,0,0,0,1,0,0,0,0,0,0,0,10,Electronic Arts Inc.,Q4,2024,Q4_2024,EA,EA,ELECTRONIC ARTS INC,2024.0,2025-03-31,7463000000.0,14500.0,12368000000.0,514689.6552
"The Walt Disney Company, Q1 2023 Earnings Call, Feb 08, 2023.txt",9249,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Walt Disney Company,Q1,2023,Q1_2023,DIS,DIS,DISNEY (WALT) CO,2023.0,2023-09-30,88898000000.0,225000.0,205579000000.0,395102.2222
"The Walt Disney Company, Q2 2024 Earnings Call, May 07, 2024.txt",7775,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Walt Disney Company,Q2,2024,Q2_2024,DIS,DIS,DISNEY (WALT) CO,2024.0,2024-09-30,91361000000.0,233000.0,196219000000.0,392107.2961
"The Walt Disney Company, Q1 2024 Earnings Call, Feb 07, 2024.txt",9926,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Walt Disney Company,Q1,2024,Q1_2024,DIS,DIS,DISNEY (WALT) CO,2024.0,2024-09-30,91361000000.0,233000.0,196219000000.0,392107.2961
"Broadcom Inc., Q1 2024 Earnings Call, Mar 07, 2024.txt",7937,61,0.007686,3,0,0,0,0,0,0,4,0,0,0,0,54,Broadcom Inc.,Q1,2024,Q1_2024,AVGO,AVGO,BROADCOM INC,2024.0,2024-10-31,51574000000.0,37000.0,165645000000.0,1393891.8919
"Broadcom Inc., Q4 2023 Earnings Call, Dec 07, 2023.txt",7772,38,0.004889,6,0,0,4,2,0,0,1,0,0,0,0,25,Broadcom Inc.,Q4,2023,Q4_2023,AVGO,AVGO,BROADCOM INC,2023.0,2023-10-31,35819000000.0,20000.0,72861000000.0,1790950.0
"Uber Technologies, Inc., Q4 2023 Earnings Call, Feb 07, 2024.txt",7371,4,0.000543,0,0,0,0,1,0,0,0,0,0,0,0,3,"Uber Technologies, Inc.",Q4,2023,Q4_2023,UBER,UBER,UBER TECHNOLOGIES INC,2023.0,2023-12-31,37281000000.0,30400.0,38699000000.0,1226348.6842
"Broadcom Inc., Q4 2022 Earnings Call, Dec 08, 2022.txt",7884,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broadcom Inc.,Q4,2022,Q4_2022,AVGO,AVGO,BROADCOM INC,2022.0,2022-10-31,33203000000.0,20000.0,73249000000.0,1660150.0
"The Walt Disney Company, Q4 2022 Earnings Call, Nov 08, 2022.txt",8880,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Walt Disney Company,Q4,2022,Q4_2022,DIS,DIS,DISNEY (WALT) CO,2022.0,2022-09-30,83745000000.0,220000.0,203631000000.0,380659.0909
"Uber Technologies, Inc., Q1 2024 Earnings Call, May 08, 2024.txt",6905,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uber Technologies, Inc.",Q1,2024,Q1_2024,UBER,UBER,UBER TECHNOLOGIES INC,2024.0,2024-12-31,43978000000.0,31100.0,51244000000.0,1414083.6013
